"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1972","Harry Potter and the Goblet of Fire","PS2","2005","Action","Electronic Arts",0.54,0.02,0,0.09,0.65,68,29,670,48,"Electronic Arts","E10+"
"1973","Tiger Woods PGA Tour 10","X360","2009","Sports","Electronic Arts",0.39,0.2,0,0.06,0.65,80,51,690,20,"EA Tiburon","E"
"1974","007: Quantum of Solace","Wii","2008","Action","Activision",0.29,0.28,0.01,0.07,0.65,54,11,750,26,"Treyarch","T"
"1975","Farming Simulator 17","PC","2016","Simulation","Focus Home Interactive",0.03,0.58,0,0.04,0.65,64,5,800,20,"Giants Software","E"
"1976","Borderlands 2","PSV","2014","Shooter","Take-Two Interactive",0.32,0.16,0.01,0.15,0.64,64,31,760,358,"Iron Galaxy Studios","M"
"1977","Crash Bandicoot Purple: Ripto's Rampage","GBA","2004","Platform","Vivendi Games",0.46,0.17,0,0.01,0.64,67,23,660,12,"Vicarious Visions","E"
"1978","Assassin's Creed IV: Black Flag","PC","2013","Action","Ubisoft",0.22,0.38,0,0.05,0.64,84,10,770,1470,"Ubisoft","M"
"1979","Need For Speed: Undercover","Wii","2008","Racing","Electronic Arts",0.27,0.31,0,0.07,0.64,54,12,620,29,"Exient Entertainment","T"
"1980","Spyro: A Hero's Tail","PS2","2004","Platform","Vivendi Games",0.32,0.25,0,0.08,0.64,60,16,800,44,"Eurocom Entertainment Software","E"
"1981","Crash: Twinsanity","PS2","2004","Platform","Vivendi Games",0.32,0.25,0,0.08,0.64,64,38,800,129,"Traveller's Tales","E"
"1982","The LEGO Movie Videogame","WiiU","2014","Action","Warner Bros. Interactive Entertainment",0.33,0.23,0.03,0.05,0.64,68,5,770,25,"TT Games","E10+"
"1983","Max Payne 2: The Fall of Max Payne","XB","2003","Shooter","Take-Two Interactive",0.47,0.15,0,0.02,0.64,84,34,840,49,"Remedy Entertainment","M"
"1984","Drawn to Life: The Next Chapter","DS","2009","Puzzle","THQ",0.44,0.14,0,0.06,0.64,72,21,770,22,"5TH Cell","E"
"1985","GoldenEye: Rogue Agent","PS2","2004","Shooter","Electronic Arts",0.54,0.02,0,0.09,0.64,60,38,700,32,"EA LA","T"
"1986","WWE 2K15","X360","2014","Sports","Take-Two Interactive",0.38,0.2,0,0.06,0.64,50,5,400,65,"Yuke's","T"
"1987","Star Ocean: First Departure","PSP","2007","Role-Playing","Square Enix",0.2,0.13,0.22,0.09,0.64,74,32,740,28,"TOSE","T"
"1988","James Bond 007: Everything or Nothing","XB","2004","Shooter","Electronic Arts",0.43,0.19,0,0.02,0.64,83,51,740,27,"EA Redwood Shores","T"
"1989","X2: Wolverine's Revenge","PS2","2003","Platform","Activision",0.31,0.24,0,0.08,0.64,58,24,720,13,"GenePool","T"
"1990","NBA Live 06","XB","2005","Sports","Electronic Arts",0.57,0.04,0,0.03,0.64,79,30,640,15,"EA Canada","E"
"1991","Rayman 3D","3DS","2011","Platform","Ubisoft",0.23,0.35,0,0.06,0.64,61,39,660,48,"Ubisoft Casablanca","E"
"1992","Football Manager 2014","PC","2013","Sports","Sega",0,0.6,0,0.03,0.64,85,41,550,275,"Sports Interactive","E"
"1993","TimeSplitters 2","XB","2002","Shooter","Eidos Interactive",0.29,0.33,0,0.01,0.64,88,20,770,34,"Free Radical Design","T"
"1994","Onimusha: Dawn of Dreams","PS2","2006","Action","Capcom",0.15,0.12,0.34,0.04,0.64,81,45,890,62,"Capcom","M"
"1995","Sengoku Basara: Samurai Heroes","PS3","2010","Action","Capcom",0.17,0.04,0.4,0.02,0.64,61,37,790,29,"Capcom","T"
"1996","Stuntman: Ignition","X360","2007","Racing","THQ",0.25,0.31,0,0.07,0.64,75,38,730,31,"Paradigm Entertainment","T"
"1997","Real Heroes: Firefighter","Wii","2009","Action","Rondomedia",0.56,0.04,0,0.05,0.64,67,18,820,10,"Epicenter Studios","E10+"
"1998","Dishonored 2","PS4","2016","Action","Bethesda Softworks",0.22,0.32,0,0.1,0.64,88,56,770,569,"Arkane Studios","M"
"1999","The Crew","XOne","2014","Racing","Ubisoft",0.25,0.34,0,0.05,0.64,64,18,590,176,"Ubisoft Reflections, Ivory Tower","T"
"2000","Dragon Ball: Raging Blast 2","X360","2010","Fighting","Namco Bandai Games",0.49,0.09,0.01,0.05,0.64,57,33,740,30,"Spike","T"
"2001","NHL 13","PS3","2012","Sports","Electronic Arts",0.33,0.21,0,0.09,0.64,84,22,680,60,"Electronic Arts","E10+"
"2002","Dead or Alive 5","PS3","2012","Fighting","Tecmo Koei",0.23,0.14,0.2,0.07,0.64,74,34,770,109,"Team Ninja","M"
"2003","Evolve","XOne","2015","Shooter","Take-Two Interactive",0.37,0.2,0,0.06,0.64,74,31,510,336,"Turtle Rock Studios","M"
"2004","Lemony Snicket's A Series of Unfortunate Events","PS2","2004","Platform","Activision",0.31,0.24,0,0.08,0.64,63,25,570,12,"Adrenium","E"
"2005","Lost Planet: Extreme Condition","PS3","2008","Shooter","Capcom",0.31,0.17,0.07,0.08,0.64,67,34,700,36,"Capcom","T"
"2006","X-Men Legends II: Rise of Apocalypse","PS2","2005","Role-Playing","Activision",0.53,0.02,0,0.09,0.63,82,44,730,41,"Raven Software","T"
"2007","LEGO Star Wars II: The Original Trilogy","X360","2006","Action","LucasArts",0.55,0.03,0,0.05,0.63,81,50,800,45,"Traveller's Tales","E10+"
"2008","Rock Band 3","Wii","2010","Misc","MTV Games",0.53,0.06,0,0.04,0.63,91,10,690,36,"Backbone Entertainment","T"
"2009","Dragon Age II","PC","2011","Action","Electronic Arts",0.23,0.33,0,0.08,0.63,82,45,450,4533,"BioWare","M"
"2010","Tony Hawk's Pro Skater 2x","XB","2001","Sports","Activision",0.41,0.19,0,0.03,0.63,78,24,880,5,"Treyarch","T"
"2011","NBA Live 08","PS3","2007","Sports","Electronic Arts",0.56,0.02,0.01,0.05,0.63,73,28,680,10,"EA Canada","E"
"2012","FIFA Soccer 2003","XB","2002","Sports","Electronic Arts",0.2,0.4,0,0.04,0.63,88,11,770,11,"EA Canada","E"
"2013","The Lord of the Rings: Conquest","X360","2009","Action","Electronic Arts",0.37,0.2,0,0.06,0.63,55,58,700,110,"Pandemic Studios","T"
"2014","Far Cry 4","PC","2014","Shooter","Ubisoft",0.15,0.44,0,0.04,0.63,80,17,670,1064,"Ubisoft Montreal","M"
"2015","NASCAR 06: Total Team Control","PS2","2005","Racing","Electronic Arts",0.53,0.02,0,0.09,0.63,78,18,770,18,"EA Sports","E"
"2016","Iron Man","PSP","2008","Action","Sega",0.46,0.09,0,0.09,0.63,44,7,650,16,"Artificial Mind and Movement","T"
"2017","White Knight Chronicles II","PS3","2010","Role-Playing","Sony Computer Entertainment",0.23,0.09,0.27,0.04,0.63,60,45,710,64,"Level 5","T"
"2018","Juiced 2: Hot Import Nights","X360","2007","Racing","THQ",0.22,0.34,0,0.07,0.63,68,24,760,21,"Juice Games","T"
"2019","Wolfenstein","PS3","2009","Shooter","Activision",0.25,0.27,0,0.11,0.63,71,58,740,77,"id Software, Raven Software","M"
"2020","The Walking Dead: Survival Instinct","X360","2013","Shooter","Activision",0.46,0.11,0,0.05,0.63,32,30,400,410,"Terminal Reality","M"
"2021","The Sims 3: Generations","PC","2011","Simulation","Electronic Arts",0.4,0.23,0,0,0.63,70,22,360,81,"The Sims Studio","T"
"2022","Ape Escape 2","PS2","2002","Platform","Sony Computer Entertainment",0.12,0.09,0.38,0.03,0.63,82,31,840,32,"SCE Japan Studio","E"
"2023","Sega Rally Revo","PS3","2007","Racing","Sega",0.07,0.42,0,0.14,0.63,75,40,700,20,"SEGA Racing Studio","E"
"2024","Shin Megami Tensei: Persona 3 FES","PS2","2007","Role-Playing","Tecmo Koei",0.22,0.2,0.16,0.05,0.63,89,25,830,296,"Atlus Co.","M"
"2025","FIFA Soccer 2002","PS2","2001","Sports","Electronic Arts",0.31,0.24,0,0.08,0.63,82,17,580,28,"EA Sports","E"
"2026","Angry Birds Trilogy","3DS","2012","Action","Activision",0.38,0.2,0,0.05,0.63,62,7,460,20,"Exient Entertainment","E"
"2027","Condemned 2: Bloodshot","X360","2008","Action","Sega",0.38,0.19,0,0.06,0.63,80,76,840,178,"Monolith Productions","M"
"2028","Okami","PS2","2006","Action","Capcom",0.11,0.03,0.15,0.34,0.63,93,69,930,327,"Clover Studio","T"
"2029","Shin Megami Tensei: Persona 3 Portable","PSP","2009","Role-Playing","Ghostlight",0.18,0.06,0.34,0.05,0.63,89,40,830,317,"Atlus","M"
"2030","NHL 2001","PS","2000","Sports","Electronic Arts",0.35,0.24,0,0.04,0.63,88,10,770,7,"Page 44 Studios","E"
"2031","Crysis 3","PC","2013","Shooter","Electronic Arts",0.17,0.39,0,0.07,0.63,76,47,650,1223,"Crytek","M"
"2032","Buzz Lightyear of Star Command","PS","2000","Platform","Activision",0.35,0.24,0,0.04,0.63,54,10,530,4,"Traveller's Tales","E"
"2033","NHL 16","PS4","2015","Sports","Electronic Arts",0.36,0.16,0,0.11,0.63,78,28,550,157,"EA Sports, EA Canada","E10+"
"2034","Tony Hawk's Project 8","PS3","2006","Sports","Activision",0.3,0.22,0.01,0.1,0.63,76,43,720,14,"Neversoft Entertainment","T"
"2035","Ghostbusters: The Video Game","X360","2009","Action","Atari",0.43,0.14,0,0.06,0.63,79,53,850,125,"Terminal Reality","T"
"2036","XCOM: Enemy Unknown","X360","2012","Strategy","Take-Two Interactive",0.36,0.21,0,0.05,0.62,90,35,830,366,"Firaxis Games","M"
"2037","Metal Gear Solid 2: Substance","XB","N/A","Action","Konami Digital Entertainment",0.38,0.22,0,0.03,0.62,87,28,850,39,"KCEJ","M"
"2038","Tony Hawk's American Wasteland","XB","2005","Sports","Activision",0.4,0.2,0,0.03,0.62,77,40,770,15,"Neversoft Entertainment","T"
"2039","Wild ARMs 3","PS2","2002","Role-Playing","Ubisoft",0.16,0.13,0.29,0.04,0.62,78,30,840,38,"Media Vision, Contrail","T"
"2040","Madden NFL 07","GC","2006","Sports","Electronic Arts",0.48,0.13,0,0.02,0.62,82,14,920,5,"EA Tiburon","E"
"2041","Tiger Woods PGA Tour 2004","XB","2003","Sports","Electronic Arts",0.47,0.13,0,0.02,0.62,89,18,820,14,"EA Sports","E"
"2042","Test Drive Unlimited 2","PS3","N/A","Racing","Atari",0.16,0.34,0.01,0.12,0.62,70,43,610,44,"Eden","T"
"2043","Tak 2: The Staff of Dreams","PS2","2004","Platform","THQ",0.3,0.24,0,0.08,0.62,71,31,800,10,"Avalanche Software","E"
"2044","Just Dance 3","PS3","2011","Misc","Ubisoft",0.33,0.2,0,0.09,0.62,75,5,600,7,"Ubisoft","E10+"
"2045","LEGO Pirates of the Caribbean: The Video Game","3DS","2011","Action","Disney Interactive Studios",0.29,0.27,0,0.06,0.62,71,16,730,20,"Traveller's Tales","E10+"
"2046","Donkey Kong Barrel Blast","Wii","2007","Racing","Nintendo",0.19,0.26,0.11,0.06,0.62,46,34,680,26,"Paon Corporation","E"
"2047","Viewtiful Joe","GC","2003","Action","Capcom",0.38,0.1,0.12,0.02,0.62,93,52,830,115,"Clover Studio","T"
"2048","The Urbz: Sims in the City","GBA","2004","Simulation","Electronic Arts",0.37,0.22,0,0.03,0.62,72,6,920,25,"Griptonite Games","E"
"2049","Guitar Hero: Metallica","PS3","2009","Misc","Activision",0.28,0.24,0,0.1,0.62,86,44,800,48,"Neversoft Entertainment","T"
"2050","Strike Force Bowling","PS2","2004","Sports","Play It",0.3,0.24,0,0.08,0.62,48,14,680,4,"Lab Rats Games","E"
"2051","Red Steel 2","Wii","2010","Shooter","Ubisoft",0.35,0.2,0.01,0.06,0.62,80,73,860,178,"Ubisoft Paris","T"
"2052","XGRA: Extreme G-Racing Association","PS2","2004","Racing","Eidos Interactive",0.3,0.24,0,0.08,0.62,68,23,860,8,"Acclaim Studios Cheltenham","T"
"2053","Mafia III","XOne","2016","Action","Take-Two Interactive",0.28,0.29,0,0.05,0.62,67,20,460,274,"Hangar 13","M"
"2054","Prince of Persia: The Forgotten Sands","X360","2010","Action","Ubisoft",0.3,0.26,0,0.06,0.62,74,69,780,112,"Ubisoft Montreal","T"
"2055","Warriors Orochi 3","PS3","2011","Action","Ubisoft Annecy",0,0.04,0.57,0.01,0.62,70,17,790,35,"Omega Force","T"
"2056","DJ Hero 2","Wii","2010","Misc","Activision",0.48,0.09,0,0.04,0.62,88,20,750,17,"FreeStyleGames","T"
"2057","Tiger Woods PGA Tour 12: The Masters","X360","2011","Sports","Electronic Arts",0.4,0.16,0,0.05,0.62,80,50,610,25,"Electronic Arts","E"
"2058","Wall-E","X360","2008","Platform","THQ",0.29,0.26,0,0.07,0.62,50,32,630,6,"Heavy Iron Studios","E"
"2059","Harry Potter and the Half-Blood Prince","DS","2009","Action","Electronic Arts",0.2,0.34,0,0.07,0.61,48,9,430,7,"EA Bright Light","E"
"2060","NieR","PS3","2010","Role-Playing","Square Enix",0.17,0.18,0.2,0.07,0.61,68,58,840,263,"Cavia Inc.","M"
"2061","2014 FIFA World Cup Brazil","PS3","2014","Sports","Electronic Arts",0.15,0.36,0.01,0.09,0.61,73,33,430,87,"EA Canada","E"
"2062","NBA 2K9","PS3","2008","Sports","Take-Two Interactive",0.56,0,0,0.05,0.61,82,30,700,37,"Visual Concepts","E"
"2063","NFL Fever 2003","XB","2002","Sports","Microsoft Game Studios",0.46,0.13,0,0.02,0.61,72,25,860,12,"Microsoft Game Studios","E"
"2064","Samurai Warriors 2","PS2","2006","Action","Tecmo Koei",0.02,0.02,0.57,0.01,0.61,58,26,880,13,"Omega Force","T"
"2065","Wet","PS3","2009","Shooter","Bethesda Softworks",0.22,0.27,0.01,0.11,0.61,70,61,640,55,"Artificial Mind and Movement","M"
"2066","Cooking Mama 4: Kitchen Magic!","3DS","2011","Simulation","505 Games",0.5,0.07,0,0.05,0.61,56,6,600,7,"Cooking Mama Limited","E"
"2067","Scribblenauts: Unlimited","3DS","2012","Action","Warner Bros. Interactive Entertainment",0.56,0.01,0,0.05,0.61,73,13,740,21,"5TH Cell","E10+"
"2068","Fire Emblem: Shadow Dragon","DS","2008","Role-Playing","Nintendo",0.29,0.02,0.27,0.03,0.61,81,42,700,106,"Intelligent Systems","E10+"
"2069","Plants vs. Zombies: Garden Warfare","PS4","2014","Shooter","Electronic Arts",0.21,0.29,0.01,0.1,0.61,75,23,760,259,"PopCap","E10+"
"2070","Metroid Prime: Trilogy","Wii","2009","Shooter","Nintendo",0.42,0.05,0,0.14,0.61,91,48,930,316,"Retro Studios","T"
"2071","Robotech: Battlecry","PS2","2002","Shooter","TDK Mediactive",0.3,0.23,0,0.08,0.61,72,20,850,8,"Vicious Cycle","T"
"2072","Disney Universe","PS3","2011","Action","Disney Interactive Studios",0.3,0.22,0,0.09,0.61,70,29,690,13,"Eurocom Entertainment Software","E10+"
"2073","Advance Wars: Days of Ruin","DS","N/A","Strategy","Nintendo",0.43,0.12,0,0.05,0.61,86,55,870,96,"Intelligent Systems","E10+"
"2074","Jak and Daxter: The Lost Frontier","PSP","2009","Platform","Sony Computer Entertainment",0.18,0.27,0,0.15,0.61,71,47,630,28,"High Impact Games","E10+"
"2075","Texas Hold 'Em Poker","GBA","2004","Misc","Majesco Entertainment",0.44,0.16,0,0.01,0.61,49,7,680,6,"Skyworks Technologies","E"
"2076","Time Crisis 3","PS2","2003","Shooter","Namco Bandai Games",0.3,0.23,0,0.08,0.61,81,29,810,12,"Namco","T"
"2077","Vanquish","PS3","2010","Shooter","Sega",0.21,0.21,0.11,0.08,0.61,84,61,810,304,"PlatinumGames","M"
"2078","Tearaway","PSV","2013","Adventure","Sony Computer Entertainment Europe",0.14,0.34,0,0.14,0.61,87,82,890,391,"Media Molecule","E"
"2079","Half-Life 2","XB","2005","Shooter","Electronic Arts",0.37,0.21,0,0.03,0.61,90,35,860,115,"Valve Software","M"
"2080","Tony Hawk: RIDE","X360","2009","Sports","Activision",0.46,0.1,0,0.05,0.61,46,43,300,67,"Robomodo","E10+"
"2081","Borderlands: The Pre-Sequel","PS3","2014","Shooter","Take-Two Interactive",0.26,0.21,0.05,0.1,0.61,77,24,630,130,"2K Australia","M"
"2082","Major League Baseball 2K8","X360","2008","Sports","Bethesda Softworks",0.56,0,0,0.05,0.61,70,28,590,34,"Kush Games","E"
"2083","Sacred 2: Fallen Angel","PS3","2009","Role-Playing","Deep Silver",0.22,0.22,0.08,0.09,0.61,70,45,710,51,"Ascaron Entertainment GmbH, Ascaron Entertainment","M"
"2084","pro evolution soccer 2011","X360","2010","Sports","Konami Digital Entertainment",0.09,0.44,0,0.07,0.61,79,43,590,33,"Konami","E"
"2085","Major League Baseball 2K9","X360","2009","Sports","Spike",0.56,0,0,0.05,0.61,64,29,530,26,"2K Sports","E"
"2086","Final Fantasy IV Advance","GBA","2005","Role-Playing","Nintendo",0.27,0.1,0.22,0.01,0.61,85,30,730,70,"TOSE","E10+"
"2087","Dragon Ball Z: Ultimate Tenkaichi","PS3","2011","Fighting","Namco Bandai Games",0.27,0.18,0.09,0.07,0.61,58,26,540,77,"Spike","T"
"2088","Harry Potter and the Goblet of Fire","GBA","2005","Action","Electronic Arts",0.44,0.16,0,0.01,0.61,71,9,600,8,"Magic Pockets","E"
"2089","Dragon Ball Z: Buu's Fury","GBA","2004","Action","Atari",0.44,0.16,0,0.01,0.61,62,19,890,39,"Webfoot Technologies","E"
"2090","Spider-Man: Mysterio's Menace","GBA","2001","Action","Activision",0.43,0.16,0,0.01,0.61,84,8,870,11,"Vicarious Visions","E"
"2091","MySims Racing","DS","2009","Racing","Electronic Arts",0.25,0.29,0,0.07,0.61,67,11,730,4,"EA Games","E"
"2092","Naruto: Ultimate Ninja","PS2","2003","Fighting","Atari",0.5,0.02,0,0.08,0.61,75,34,770,35,"CyberConnect2","T"
"2093","Pac-Man Party","Wii","2010","Misc","Namco Bandai Games",0.47,0.08,0.01,0.04,0.61,59,14,590,8,"TOSE","E10+"
"2094","Tony Hawk's Underground","GBA","2003","Sports","Activision",0.43,0.16,0,0.01,0.6,86,9,770,9,"Vicarious Visions","E"
"2095","Shadow The Hedgehog","PS2","2005","Platform","Sega",0.5,0.02,0,0.08,0.6,45,28,600,137,"Sonic Team","E10+"
"2096","Wave Race: Blue Storm","GC","2001","Racing","Nintendo",0.4,0.1,0.09,0.02,0.6,80,21,830,29,"Nintendo","E"
"2097","Aliens: Colonial Marines","PS3","2013","Shooter","Sega",0.2,0.29,0,0.11,0.6,43,25,360,295,"Gearbox Software","M"
"2098","Backyard Wrestling: Don't Try This at Home","PS2","2003","Fighting","Eidos Interactive",0.3,0.23,0,0.08,0.6,51,24,780,29,"Paradox Development","M"
"2099","Yakuza: Dead Souls","PS3","2011","Shooter","Sega",0.09,0.06,0.42,0.03,0.6,64,55,740,69,"Ryu ga Gotoku Studios","M"
"2100","Fight Night Round 2","XB","2005","Fighting","Electronic Arts",0.42,0.16,0,0.02,0.6,88,48,880,27,"EA Sports","T"
"2101","Dead Island: Riptide","PS3","2013","Action","Deep Silver",0.26,0.19,0.07,0.09,0.6,62,25,590,140,"Techland","M"
"2102","Kinect Sports Rivals","XOne","2014","Sports","Microsoft Game Studios",0.3,0.23,0.02,0.05,0.6,60,53,510,144,"Microsoft Game Studios","E10+"
"2103","NBA 2K8","PS2","2007","Sports","Take-Two Interactive",0.5,0.02,0,0.08,0.6,72,7,600,9,"Visual Concepts","E"
"2104","Dynasty Warriors 8","PS3","2013","Action","Tecmo Koei",0.12,0.1,0.34,0.05,0.6,68,26,850,75,"Omega Force","T"
"2105","Disney Infinity","WiiU","2013","Action","Disney Interactive Studios",0.33,0.22,0,0.05,0.6,71,10,760,58,"Avalanche Software","E10+"
"2106","Secret Agent Clank","PS2","2009","Platform","Sony Computer Entertainment",0.13,0.18,0,0.29,0.6,61,9,670,14,"Sanzaru Games","E10+"
"2107","Call of Juarez: Bound in Blood","X360","2009","Shooter","Ubisoft",0.3,0.24,0,0.06,0.6,77,77,760,94,"Techland","M"
"2108","Fighters Uncaged","X360","2010","Fighting","Ubisoft",0.31,0.23,0,0.06,0.6,32,38,460,23,"Ubisoft","T"
"2109","Rayman Arena","PS2","2001","Racing","Ubisoft",0.29,0.23,0,0.08,0.6,63,10,860,8,"Ubisoft","E"
"2110","Jaws Unleashed","PS2","2006","Action","THQ",0.5,0.02,0,0.08,0.6,52,29,750,39,"Appaloosa Interactive","M"
"2111","Half-Life","PS2","2001","Shooter","Vivendi Games",0.29,0.23,0,0.08,0.6,87,24,860,94,"Gearbox Software","M"
"2112","Split/Second","X360","2010","Racing","Disney Interactive Studios",0.32,0.23,0,0.06,0.6,82,78,810,101,"Black Rock Studio","E10+"
"2113","The Golden Compass","DS","2007","Action","Sega",0.28,0.25,0,0.06,0.6,43,7,490,8,"Artificial Mind and Movement","E10+"
"2114","The Golden Compass","Wii","N/A","Action","Sega",0.26,0.28,0,0.07,0.6,35,12,680,6,"Shiny Entertainment","E10+"
"2115","Muramasa: The Demon Blade","Wii","2009","Role-Playing","Rising Star Games",0.32,0.12,0.11,0.04,0.6,81,58,870,101,"Vanillaware","T"
"2116","Okami","Wii","2008","Action","Capcom",0.43,0.09,0.04,0.05,0.6,90,44,890,236,"Ready at Dawn","T"
"2117","LEGO The Hobbit","PS4","2014","Action","Warner Bros. Interactive Entertainment",0.13,0.38,0,0.09,0.6,72,47,660,88,"TT Games","E10+"
"2118","WWE 2K17","PS4","2016","Sports","Take-Two Interactive",0.17,0.34,0,0.09,0.6,69,50,690,88,"Yuke's","T"
"2119","Just Dance 2014","WiiU","2013","Misc","Ubisoft",0.31,0.23,0,0.05,0.6,72,13,760,45,"Ubisoft","E10+"
"2120","NHL 15","PS4","2014","Sports","Electronic Arts",0.31,0.19,0,0.1,0.6,60,28,360,306,"EA Sports","E10+"
"2121","Total War: Shogun 2","PC","2011","Strategy","Sega",0.19,0.31,0,0.09,0.6,90,62,830,1180,"Creative Assembly","T"
"2122","SimCity DS","DS","2007","Simulation","Electronic Arts",0.33,0.02,0.21,0.03,0.6,69,27,630,18,"Aki Corp.","E"
"2123","Hot Wheels: Stunt Track Challenge","PS2","2004","Racing","THQ",0.29,0.23,0,0.08,0.59,62,8,810,8,"Climax Group","E"
"2124","Monopoly","X360","2008","Misc","Electronic Arts",0.34,0.2,0,0.06,0.59,56,9,580,17,"EA Bright Light","E"
"2125","Tony Hawk: RIDE","PS3","2009","Sports","Activision",0.38,0.14,0,0.07,0.59,44,29,210,31,"Robomodo","E10+"
"2126","Medal of Honor: Frontline","GC","2002","Shooter","Electronic Arts",0.46,0.12,0,0.02,0.59,80,16,790,16,"Dreamworks Games","T"
"2127","Dead Space","PC","2008","Action","Electronic Arts",0,0.53,0,0.06,0.59,86,28,800,1093,"EA Redwood Shores","M"
"2128","NHL 11","PS3","2010","Sports","Electronic Arts",0.4,0.12,0,0.07,0.59,88,38,710,54,"Electronic Arts","E10+"
"2129","Yakuza 5","PS3","2012","Action","Sega",0,0,0.59,0,0.59,83,34,850,180,"Ryu ga Gotoku Studios","M"
"2130","2002 FIFA World Cup","PS2","2002","Sports","Electronic Arts",0.21,0.17,0.16,0.06,0.59,73,19,560,18,"EA Sports","E"
"2131","MVP Baseball 2004","XB","2004","Sports","Electronic Arts",0.44,0.13,0,0.02,0.59,90,31,850,19,"EA Sports","E"
"2132","Crash Bandicoot: The Wrath of Cortex","GC","2002","Platform","Universal Interactive",0.46,0.12,0,0.02,0.59,62,11,730,22,"Traveller's Tales","E"
"2133","WWE 2K16","XOne","2015","Sports","Take-Two Interactive",0.32,0.22,0,0.05,0.59,72,18,570,75,"Yuke's","T"
"2134","Assassin's Creed: Brotherhood","PC","2011","Action","Ubisoft",0.15,0.34,0,0.1,0.59,88,24,820,1102,"Ubisoft Montreal","M"
"2135","Dead or Alive Xtreme Beach Volleyball","XB","2003","Sports","Microsoft Game Studios",0.36,0.08,0.14,0.02,0.59,73,42,780,47,"Team Ninja","M"
"2136","Silent Hill: Shattered Memories","PS2","2010","Action","Konami Digital Entertainment",0.13,0.22,0.01,0.23,0.59,77,8,680,82,"Climax Group","M"
"2137","Blur","X360","2010","Racing","Activision",0.25,0.27,0,0.06,0.59,82,78,830,169,"Bizarre Creations","E10+"
"2138","Madden NFL 06","X360","N/A","Sports","Electronic Arts",0.54,0,0.01,0.03,0.59,74,48,490,44,"EA Tiburon","E"
"2139","Asphalt: Urban GT","DS","2004","Racing","Ubisoft",0.31,0.22,0,0.06,0.59,60,38,750,13,"Gameloft","E"
"2140","Mega Man Anniversary Collection","PS2","2004","Platform","Capcom",0.29,0.22,0,0.08,0.59,81,26,900,20,"Atomic Planet Entertainment","E"
"2141","Metal Gear Solid V: Ground Zeroes","PS3","2014","Action","Konami Digital Entertainment",0.14,0.12,0.27,0.05,0.59,66,5,590,242,"Kojima Productions","M"
"2142","Harvest Moon: Friends of Mineral Town","GBA","2003","Simulation","Ubisoft",0.34,0.13,0.11,0.01,0.59,81,25,960,116,"TOSE","E"
"2143","Naruto: The Broken Bond","X360","2008","Action","Ubisoft",0.24,0.28,0,0.06,0.59,80,34,780,46,"Ubisoft Montreal","T"
"2144","WarioWare D.I.Y.","DS","2009","Misc","Nintendo",0.17,0.18,0.2,0.04,0.59,82,53,870,39,"Intelligent Systems","E"
"2145","Iron Man","Wii","2008","Action","Sega",0.3,0.22,0,0.06,0.59,44,14,700,8,"Artificial Mind and Movement","T"
"2146","The Fight: Lights Out","PS3","2010","Fighting","Sony Computer Entertainment",0.29,0.21,0,0.09,0.59,48,39,750,77,"Coldwood Interactive","T"
"2147","Mega Man X7","PS2","2003","Action","Capcom",0.22,0.17,0.14,0.06,0.58,58,30,510,38,"Valuewave Co.,Ltd.","E"
"2148","Deus Ex: Human Revolution","PC","2011","Shooter","Square Enix",0.25,0.25,0,0.08,0.58,90,52,850,3069,"Nixxes Software","M"
"2149","Final Fantasy Anniversary Edition","PSP","2007","Role-Playing","Square Enix",0.39,0.02,0.13,0.04,0.58,67,34,770,47,"TOSE","E10+"
"2150","SoulCalibur V","X360","2012","Fighting","Namco Bandai Games",0.39,0.13,0.02,0.04,0.58,77,56,620,124,"Project Soul","T"
"2151","Romancing SaGa","PS2","2005","Role-Playing","Square Enix",0.06,0.04,0.47,0.01,0.58,58,23,800,35,"Square Enix","E10+"
"2152","Lost: Via Domus","X360","2008","Action","Ubisoft",0.18,0.34,0,0.07,0.58,55,50,640,58,"Ubisoft Montreal","T"
"2153","Top Spin 3","Wii","2008","Action","Take-Two Interactive",0.15,0.37,0,0.07,0.58,68,18,570,29,"Pam Development","E"
"2154","Game Party in Motion","X360","2010","Misc","Warner Bros. Interactive Entertainment",0.36,0.17,0,0.05,0.58,33,6,370,9,"Farsight Studios","E"
"2155","The Lord of the Rings: The Third Age","PS2","2004","Role-Playing","Electronic Arts",0.49,0.02,0,0.08,0.58,73,35,820,60,"EA Games","T"
"2156","Call of Duty: Black Ops","DS","2010","Shooter","Activision",0.5,0.04,0,0.04,0.58,74,13,600,54,"n-Space","T"
"2157","NCAA Football 09","PS3","2008","Sports","Electronic Arts",0.54,0,0,0.04,0.58,81,20,730,25,"EA Tiburon","E"
"2158","MLB 11: The Show","PS3","2011","Sports","Sony Computer Entertainment",0.54,0,0,0.04,0.58,90,30,780,87,"SCEA San Diego Studios","E"
"2159","Kinect Rush: A Disney Pixar Adventure","X360","2012","Adventure","Microsoft Game Studios",0.38,0.15,0,0.05,0.58,68,31,510,15,"Asobo Studio","E"
"2160","Skylanders SWAP Force","WiiU","2013","Platform","Activision",0.38,0.15,0,0.05,0.58,89,7,600,96,"Vicarious Visions","E10+"
